자치구,주유기 당 자동차,충전기 당 전기차
종로구,1144.27,20.2
중구,1248.12,18.627450980392158
용산구,1265.71,12.592105263157896
성동구,1295.95,22.636363636363637
광진구,1347.55,16.857142857142858
동대문구,1058.77,18.742857142857144
중랑구,1681.99,17.045454545454547
성북구,1034.81,13.043478260869565
강북구,1195.83,17.714285714285715
도봉구,1086.72,9.1
노원구,2086.1,9.457446808510639
은평구,1604.52,55.0625
서대문구,1221.9,20.09090909090909
마포구,2092.48,10.948453608247423
양천구,1240.48,18.314814814814813
강서구,1314.47,25.059701492537314
구로구,1430.14,49.77333333333333
금천구,1554.64,53.0
영등포구,1106.78,29.378048780487806
동작구,2167.94,17.75
관악구,1617.56,26.071428571428573
서초구,1100.2,33.174311926605505
강남구,1401.42,96.0672268907563
송파구,1533.28,15.09375
강동구,2237.91,14.80232558139535
